"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 15 13:51:13 UTC 2026","Fri May 15 13:51:14 UTC 2026","712","PetStore API Test Suite","User - Update User Tests","petstore.user.PutUpdateUserTests","petstore.user.PutUpdateUserTests","User_Put_UpdateUser_Success_PartialEmailUpdate","User_Put_UpdateUser_Success_PartialEmailUpdate",""
"passed","Fri May 15 13:50:56 UTC 2026","Fri May 15 13:50:56 UTC 2026","342","PetStore API Test Suite","Pet - Get Pet By ID Tests","petstore.pet.GetPetByIdTests","petstore.pet.GetPetByIdTests","Pet_Get_GetPetById_BadRequest_NegativeId","Pet_Get_GetPetById_BadRequest_NegativeId",""
"passed","Fri May 15 13:51:06 UTC 2026","Fri May 15 13:51:06 UTC 2026","344","PetStore API Test Suite","User - Create User Tests","petstore.user.PostCreateUserTests","petstore.user.PostCreateUserTests","User_Post_CreateUser_Success_AllFields","User_Post_CreateUser_Success_AllFields",""
"failed","Fri May 15 13:51:00 UTC 2026","Fri May 15 13:51:01 UTC 2026","383","PetStore API Test Suite","Pet - Upload Image Tests","petstore.pet.UploadImageTests","petstore.pet.UploadImageTests","Pet_POST_UploadImage_BadRequest_PDF_File","Pet_POST_UploadImage_BadRequest_PDF_File",""
"passed","Fri May 15 13:51:11 UTC 2026","Fri May 15 13:51:11 UTC 2026","362","PetStore API Test Suite","User - Delete User Tests","petstore.user.DeleteUserTests","petstore.user.DeleteUserTests","User_Delete_User_NotFound_NonExistentUser","User_Delete_User_NotFound_NonExistentUser",""
"failed","Fri May 15 13:50:53 UTC 2026","Fri May 15 13:50:54 UTC 2026","1143","PetStore API Test Suite","Pet - Update Pet Tests","petstore.pet.PutUpdatePetTests","petstore.pet.PutUpdatePetTests","Pet_Put_UpdatePet_NotFound_NonExistentId","Pet_Put_UpdatePet_NotFound_NonExistentId",""
"passed","Fri May 15 13:51:17 UTC 2026","Fri May 15 13:51:17 UTC 2026","737","PetStore API Test Suite","User - Login User Tests","petstore.user.GetLoginUserTests","petstore.user.GetLoginUserTests","User_Get_LoginUser_Success_VerifyResponseHeaders","User_Get_LoginUser_Success_VerifyResponseHeaders",""
"failed","Fri May 15 13:50:58 UTC 2026","Fri May 15 13:50:58 UTC 2026","628","PetStore API Test Suite","Pet - Find Pets By Status Tests","petstore.pet.GetFindPetsByStatusTests","petstore.pet.GetFindPetsByStatusTests","Pet_Get_FindPetsByStatus_Unauthorized","Pet_Get_FindPetsByStatus_Unauthorized",""
"passed","Fri May 15 13:51:10 UTC 2026","Fri May 15 13:51:10 UTC 2026","363","PetStore API Test Suite","User - Create Users With List Tests","petstore.user.PostCreateUsersWithListTests","petstore.user.PostCreateUsersWithListTests","User_Post_CreateUsersWithList_Success_ListWithDuplicateUsernames","User_Post_CreateUsersWithList_Success_ListWithDuplicateUsernames",""
"passed","Fri May 15 13:51:08 UTC 2026","Fri May 15 13:51:08 UTC 2026","377","PetStore API Test Suite","User - Create User Tests","petstore.user.PostCreateUserTests","petstore.user.PostCreateUserTests","User_Post_CreateUser_Success_SpecialCharactersUsername","User_Post_CreateUser_Success_SpecialCharactersUsername",""
